# tempo_detrend fluxo_detrend
1330.611111 0.999798
1330.612499 1.000186
1330.613888 0.999484
1330.615277 0.999579
1330.616666 1.000191
1330.618055 0.999818
1330.619444 1.000311
1330.620833 1.000415
1330.622222 1.000669
1330.623611 1.000049
1330.624999 1.000739
1330.626388 1.000385
1330.627777 1.000885
1330.629166 1.000081
1330.630555 1.000258
1330.631944 1.000576
1330.633333 1.000807
1330.634722 1.001179
1330.636110 1.000122
1330.637499 1.000494
1330.638888 1.000341
1330.640277 1.000163
1330.641666 1.000821
1330.643055 1.000042
1330.644444 0.999621
1330.645833 0.999598
1330.647222 1.000002
1330.648610 1.000176
1330.649999 1.000438
1330.651388 0.999827
1330.652777 1.000655
1330.654166 0.999982
1330.655555 1.000109
1330.656944 1.000341
1330.658333 0.999828
1330.659722 1.000343
1330.661110 1.000518
1330.662499 0.999842
1330.663888 1.000117
1330.665277 1.000002
1330.666666 0.999979
1330.668055 1.000154
1330.669444 0.999706
1330.670833 0.999759
1330.672221 0.999988
1330.673610 0.999530
1330.674999 1.000340
1330.676388 1.000079
1330.677777 0.999884
1330.679166 0.999868
1330.680555 1.000137
1330.681944 0.999529
1330.683333 0.999869
1330.684721 1.000261
1330.686110 0.999714
1330.687499 0.999912
1330.688888 0.999745
1330.690277 0.999768
1330.691666 1.000305
1330.693055 0.999383
1330.694444 0.999781
1330.695832 0.999663
1330.697221 1.000148
1330.698610 1.000577
1330.699999 1.000127
1330.701388 1.000379
1330.702777 1.000034
1330.704166 1.000150
1330.705555 0.999775
1330.706944 1.000129
1330.708332 1.000208
1330.709721 0.999860
1330.711110 0.999862
1330.712499 0.999776
1330.713888 0.999778
1330.715277 1.000097
1330.716666 1.000380
1330.718055 1.000568
1330.719443 0.999806
1330.720832 0.999824
1330.722221 1.000465
1330.723610 1.000473
1330.724999 1.000231
1330.726388 0.999849
1330.727777 0.999202
1330.729166 0.999677
1330.730555 0.999945
1330.731943 1.000114
1330.733332 0.999506
1330.734721 0.999861
1330.736110 0.999589
1330.737499 0.999758
1330.738888 0.999947
1330.740277 0.999871
1330.741666 1.000219
1330.743054 0.999492
1330.744443 0.999711
1330.745832 1.000107
1330.747221 1.000494
