banda,bjd_tdb,fluxo,erro,base,fluxo_corrigido
g,2461275.612888733,0.9975409195411618,0.0010715364332148781,0.9996978363126375,0.9978424312896069
g,2461275.6139189103,0.997501249730991,0.0008496969574683654,0.9996299723018748,0.9978704894512297
g,2461275.6149759777,0.9947535867040904,0.0008235322227664743,0.9995608982275356,0.9951905766502375
g,2461275.6160086915,0.9936240998864179,0.000742691967671288,0.9994939680265853,0.9941271600150254
g,2461275.6170404954,0.9939177266725995,0.0009431654443337353,0.9994276450930888,0.9944869261446374
g,2461275.618096611,0.9953823214929557,0.0010484411774261844,0.9993603314061095,0.9960194438500909
g,2461275.619152968,0.9940803317699983,0.0005952392942464975,0.9992935852956096,0.9947830611520746
g,2461275.6201843196,0.9911147832933845,0.0010832967740223409,0.9992289854437383,0.9918795368543574
g,2461275.6212158985,0.9947644967815737,0.0008913127306640333,0.9991649345569237,0.9955958844999887
g,2461275.6222715043,0.9943814304294336,0.0008623027384874773,0.9990999797198069,0.995277200093932
g,2461275.6233310266,0.9929950499783126,0.0009846158036187005,0.9990353864734224,0.9939538312887674
g,2461275.624359772,0.9945389406205327,0.0007937774316078972,0.9989732515201095,0.9955611314989373
g,2461275.6253922023,0.9968732802329935,0.0008258137980784462,0.998911474410367,0.9979595847784444
g,2461275.626448199,0.9973406584337904,0.0006494820149713167,0.9988488939128248,0.9984900263811414
g,2461275.6274787486,0.9975152694487045,0.0008432451109544805,0.9987884180847206,0.9987253069689599
g,2461275.6285073007,0.9983345751586946,0.0009713278575838608,0.9987286514142795,0.9996054220983579
g,2461275.629564918,0.9978853683958255,0.001118433204617352,0.9986678179057233,0.9992165067344028
g,2461275.630597926,0.9973374262965378,0.0005478120751836797,0.998609013897853,0.9987266411742551
g,2461275.631628263,0.9991543218039859,0.000834831544306095,0.9985509714539645,1.000604225890585
g,2461275.632688348,1.0001447457310546,0.0010448745037283723,0.9984918945386803,1.0016553476311774
g,2461275.6337214783,0.9985394453225861,0.0007604243101125021,0.9984349510730979,1.0001046580444484
g,2461275.63475064,0.9988792332456887,0.0009781328116856495,0.9983788509932655,1.0005011947638167
g,2461275.6358121783,0.9978193886452662,0.0008505181280331527,0.9983216458758659,0.9994968983867328
g,2461275.6368699884,0.9978006318578122,0.0006731896100842218,0.9982653146005527,0.9995345097781682
g,2461275.6378995785,0.9983924699681395,0.0008587583419948316,0.9982111373556519,1.0001816575729339
g,2461275.6389331045,0.9957601125471051,0.0009140872824593069,0.9981574046483447,0.9975982825052686
g,2461275.6399909663,0.9991109663032546,0.0008296400774626373,0.9981030901778813,1.0010097916089946
g,2461275.641020598,0.9992549344845325,0.0006131103801553469,0.9980508959372064,1.0012063899268338
g,2461275.6420495855,0.999231120133705,0.0011797460603392678,0.9979994015972329,1.001234187650314
g,2461275.6431081863,0.9989716215918305,0.0009739917798864446,0.9979471287034898,1.0010266003667667
g,2461275.6441364046,0.9976897951626847,0.0011546309608663986,0.9978970462054655,0.9997923121993708
g,2461275.6451660832,1.0004904831683699,0.0009500064018369068,0.9978475809730843,1.0026486030989905
g,2461275.646223098,0.9975331120447246,0.0007232026185524749,0.9977975273146451,0.9997350010771904
g,2461275.6472540167,0.9983775967508822,0.0012196205155279357,0.9977494240397338,1.0006295896504807
g,2461275.648282702,0.9961667193970815,0.0007220593219210427,0.9977021354944303,0.9984610475985521
g,2461275.649338398,0.9987043455566065,0.0009359674184373073,0.9976543520837257,1.001052462178597
g,2461275.6503918697,0.9943452857339057,0.0007131610326057065,0.9976074321223517,0.9967300299863384
g,2461275.6514241253,0.9972642463860407,0.0007877796656079791,0.9975622044393637,0.999701313810811
g,2461275.652454559,0.9960171216315937,0.0009645249956496007,0.9975178021890994,0.9984955851873397
g,2461275.65351209,0.9962353498182623,0.000577138644296543,0.9974730166336905,0.9987591976977933
g,2461275.65457635,0.9963435003049907,0.0006035915376276713,0.9974287579727832,0.9989119446786373
g,2461275.6556121837,0.9974527343451148,0.0010047757032752805,0.9973864727383399,1.000066435237078
g,2461275.6566430638,0.9956288016798881,0.000895935896327616,0.9973451734149036,0.9982790594663042
g,2461275.6577016227,0.9943967459468989,0.0006993160530321288,0.9973035895117577,0.997085297199941
g,2461275.6587315802,0.9973400154973009,0.0009009248627595193,0.9972639409557306,1.0000762832570658
g,2461275.65976477,0.9992235837434725,0.0008484200433037018,0.9972249818204998,1.0020041635131565
g,2461275.660795097,0.9974638733327885,0.0013739879258754023,0.9971869532057512,1.000277701313828
g,2461275.661823424,0.9967313480052452,0.000819038864751831,0.9971498267321518,0.9995803251269891
g,2461275.662880705,0.9971545455806916,0.0010460385280642427,0.9971125296259685,1.0000421376258695
g,2461275.6639389484,0.997079175548211,0.00134379607445662,0.997076098589586,1.0000030859817313
g,2461275.664970124,0.9958978209333593,0.0006680068178517806,0.9970414768287822,0.998852950532148
g,2461275.665998695,0.9970029041177959,0.0010507614075987337,0.9970078159603557,0.9999950734161948
g,2461275.667054694,0.9963171687641543,0.000982796896512358,0.9969741781099152,0.9993409966274087
g,2461275.6681116507,0.9958461076843902,0.000753574796816831,0.9969414567463221,0.9989012904875009
g,2461275.669140943,0.9970430557673262,0.0007051176624031603,0.9969105147755759,1.0001329517441995
g,2461275.67017252,1.0004680675284263,0.0005819573082641544,0.9968804296298668,1.0035988648105887
g,2461275.6712300163,0.9982849483176047,0.00099067315080892,0.9968505647612171,1.0014389153270242
g,2461275.6722865975,0.9968495891934616,0.0008745397106617798,0.9968217269854706,1.00002795104404
g,2461275.6733181295,1.0005397932231719,0.000996398190407993,0.9967945521567899,1.0037572848469911
g,2461275.6743485555,1.0006129948135367,0.0008774502794983513,0.9967683853944461,1.00385707399575
g,2461275.6754030427,0.9984463153056312,0.0009214777322541435,0.9967426362775887,1.0017092466661253
g,2461275.6764323944,0.9963160518019146,0.00093652026914617,0.9967185195676098,0.9995962071961202
g,2461275.677462264,0.9993996338347546,0.0010119837279449718,0.9966954120254707,1.0027131877769844
g,2461275.6785208187,0.9977648342247034,0.000996900009392836,0.9966727418361299,1.0010957381924197
g,2461275.679551081,1.0002011385007934,0.0010981902734436264,0.996651745645624,1.0035613170504911
g,2461275.680586787,0.9983121401169958,0.0009086252508177165,0.9966317164633366,1.0016861029263873
g,2461275.6816471783,0.9961330609273816,0.0009227822079628013,0.9966123477907204,0.9995190839603771
g,2461275.6826770003,0.9967214544043266,0.0008185993411299786,0.996594656284267,1.0001272313866625
g,2461275.6837092564,0.9969809051050348,0.0007561882405829726,0.9965780457246899,1.000404242680313
g,2461275.6847673245,0.9975488305934893,0.0011296793861213833,0.9965622058658085,1.0009900282409603
g,2461275.6858250834,0.9987080633138203,0.0013578759797469213,0.9965475905531992,1.002167957437358
g,2461275.686855621,0.9964578310162135,0.0014816300782227712,0.9965345432503924,0.9999230209984206
g,2461275.6878842805,1.0003277698736401,0.0012343896450928802,0.9965227108372773,1.0038183364964817
g,2461275.6889417954,0.9990627682394333,0.001266679304297638,0.9965118084370925,1.002559889186202
g,2461275.6899998137,0.997281617390325,0.0011262835103687566,0.9965022030691628,1.0007821501234635
g,2461275.691029864,0.9996078915735911,0.0007410327197307823,0.9964941235675625,1.003124722898396
g,2461275.692059389,0.9987920035979234,0.0008556441791213242,0.9964873221636396,1.0023128055751676
g,2461275.6931175077,0.9987758573545023,0.0007771282815475681,0.9964816828275209,1.0023022746594514
g,2461275.6941174534,0.9993327634649302,0.0014164525168649568,0.9964776336371961,1.002865222189998
g,2461275.695173351,1.0013203977933727,0.0013656836744255188,0.9964747314490161,1.0048628090521776
g,2461275.69623086,0.9971648389908406,0.0012473097165975051,0.9964732630092605,1.0006940236203545
g,2461275.6972614913,1.0017092177169986,0.0013495343926039224,0.9964732417387353,1.0052545073554882
g,2461275.698293322,0.9985060561636749,0.0018053528210795165,0.9964746388722194,1.0020386041071296
g,2461275.6993551687,0.9983061572649531,0.0015246678070013895,0.9964775860628917,1.0018350349547611
g,2461275.7003842616,0.9957434033998217,0.0011278366356230792,0.9964819293750848,0.999258866665323
g,2461275.7014161833,0.9970529012759503,0.0013912936134411662,0.9964877797635454,1.0005671133393517
g,2461275.702473772,0.9997476894146853,0.0013259332946395828,0.996495359201105,1.0032637685499988
g,2461275.7035325104,1.002686730288451,0.001365587749399488,0.996504582895023,1.006203832375229
g,2461275.7045647213,0.9972244359454057,0.00092648161059229,0.9965151808246807,1.0007117353898594
g,2461275.7056027125,0.9994558149535206,0.0014387143600276427,0.9965274649964807,1.002938554189322
g,2461275.70663386,0.9985708515727032,0.0010601548774146164,0.9965413159579964,1.0020365794997228
g,2461275.7076677447,0.9983103133009038,0.0010766796129937064,0.9965568830091538,1.001759488416211
g,2461275.708727422,0.9948957561087631,0.0009519354947054858,0.9965746183681167,0.9983153672305013
g,2461275.709759875,0.9953767233362343,0.0014227623834331224,0.9965936645097699,0.9987788993479763
g,2461275.7107934617,0.9977691484206899,0.0012437849436285463,0.9966145106679055,1.001158560045459
