# AU Mic b - empilhamento em fase (5 transitos)
# T0_ref=1330.390510  P_ref=8.4631516
# dt_dias  fluxo_normalizado  epoca
-0.06573213 0.99787862 2
-0.06571149 0.99718284 85
-0.06551225 0.99759934 0
-0.06524078 0.99639485 84
-0.06492865 0.99690946 86
-0.06434329 0.99769721 2
-0.06432258 0.99709124 85
-0.06412337 0.99657645 0
-0.06385186 0.99673725 84
-0.06353976 0.99684676 86
-0.06295444 0.99745028 2
-0.06293368 0.99689501 85
-0.06273449 0.99781818 0
-0.06246293 0.99651439 84
-0.06215087 0.99651312 86
-0.06156559 0.99727992 2
-0.06154478 0.99761739 85
-0.06134560 0.99645759 0
-0.06107401 0.99641303 84
-0.06076198 0.99634233 86
-0.06017675 0.99759299 2
-0.06015587 0.99731987 85
-0.05995672 0.99679592 0
-0.05968508 0.99647817 84
-0.05937309 0.99625162 86
-0.05878790 0.99791845 2
-0.05876697 0.99730714 85
-0.05856784 0.99730095 0
-0.05829616 0.99723116 84
-0.05798420 0.99616955 86
-0.05739906 0.99863674 2
-0.05737807 0.99666536 85
-0.05717896 0.99691742 0
-0.05690723 0.99720430 84
-0.05659531 0.99650614 86
-0.05601021 0.99836064 2
-0.05598916 0.99734744 85
-0.05579008 0.99638301 0
-0.05551831 0.99703178 84
-0.05520642 0.99595443 86
-0.05462136 0.99789674 2
-0.05460026 0.99695925 85
-0.05440120 0.99700502 0
-0.05412938 0.99733784 84
-0.05381753 0.99604788 86
-0.05323252 0.99800157 2
-0.05321136 0.99679855 85
-0.05301232 0.99656891 0
-0.05274046 0.99677301 84
-0.05242864 0.99601315 86
-0.05184367 0.99799573 2
-0.05182246 0.99741602 85
-0.05162344 0.99680721 0
-0.05135153 0.99665033 84
-0.05103975 0.99613228 86
-0.05045483 0.99799340 2
-0.05043355 0.99706803 85
-0.05023455 0.99717089 0
-0.04996261 0.99696139 84
-0.04965086 0.99621978 86
-0.04906598 0.99841031 2
-0.04904465 0.99711289 85
-0.04884567 0.99738594 0
-0.04857369 0.99630957 84
-0.04826197 0.99617611 86
-0.04767713 0.99956953 2
-0.04765575 0.99725034 85
-0.04718476 0.99684621 84
-0.04687308 0.99613333 86
-0.04628829 0.99922543 2
-0.04626684 0.99677394 85
-0.04579584 0.99638661 84
-0.04548419 0.99616070 86
-0.04489944 0.99897823 2
-0.04487794 0.99725294 85
