# AU Mic b - todos os transitos extraidos dos setores 1 e 27
# T0_ref=1330.390510  P_ref=8.4631516  janela=+/-0.25 d  N_transitos=5  N_pontos=1739
# tempo_BTJD  dt_dias  fluxo_residual  fluxo_normalizado  epoca  setor
1330.51388560 0.12337560 1.00022474 1.00025924 0 12018
1330.51527449 0.12476449 1.00012262 1.00015711 0 12018
1330.51666337 0.12615337 0.99999859 1.00003308 0 12018
1330.51805225 0.12754225 0.99996551 1.00000000 0 12018
1330.51944113 0.12893113 0.99979072 0.99982520 0 12018
1330.52083001 0.13032001 0.99991681 0.99995130 0 12018
1330.52221889 0.13170889 1.00019623 1.00023072 0 12018
1330.52360777 0.13309777 0.99971113 0.99974561 0 12018
1330.52499665 0.13448665 0.99981989 0.99985437 0 12018
1330.52638553 0.13587553 0.99957541 0.99960988 0 12018
1330.52777442 0.13726442 0.99995264 0.99998713 0 12018
1330.52916330 0.13865330 1.00022990 1.00026439 0 12018
1330.53055218 0.14004218 1.00022567 1.00026017 0 12018
1330.53194106 0.14143106 0.99988285 0.99991733 0 12018
1330.53332994 0.14281994 0.99975846 0.99979293 0 12018
1330.53471882 0.14420882 1.00038377 1.00041827 0 12018
1330.53610770 0.14559770 0.99984937 0.99988385 0 12018
1330.53749658 0.14698658 1.00001433 1.00004882 0 12018
1330.53888546 0.14837546 1.00010519 1.00013968 0 12018
1330.54027435 0.14976435 0.99995366 0.99998815 0 12018
1330.54166323 0.15115323 0.99983853 0.99987301 0 12018
1330.54305211 0.15254211 0.99973394 0.99976842 0 12018
1330.54444099 0.15393099 1.00012176 1.00015625 0 12018
1330.54582987 0.15531987 0.99941752 0.99945198 0 12018
1330.54721875 0.15670875 1.00032318 1.00035768 0 12018
1330.54860763 0.15809763 1.00031689 1.00035139 0 12018
1330.54999651 0.15948651 1.00015924 1.00019373 0 12018
1330.55138539 0.16087539 1.00023965 1.00027414 0 12018
1330.55277428 0.16226428 0.99928163 0.99931609 0 12018
1330.55416316 0.16365316 0.99975133 0.99978581 0 12018
1330.55555204 0.16504204 0.99959300 0.99962747 0 12018
1330.55694092 0.16643092 1.00008192 1.00011640 0 12018
1330.55832980 0.16781980 0.99983006 0.99986455 0 12018
1330.55971868 0.16920868 0.99962704 0.99966152 0 12018
1330.56110756 0.17059756 1.00040196 1.00043646 0 12018
1330.56249644 0.17198644 1.00030823 1.00034273 0 12018
1330.56388532 0.17337532 1.00017666 1.00021115 0 12018
1330.56527420 0.17476420 1.00019022 1.00022472 0 12018
1330.56666309 0.17615309 1.00008192 1.00011641 0 12018
1330.56805197 0.17754197 0.99951649 0.99955096 0 12018
1330.56944085 0.17893085 1.00004330 1.00007779 0 12018
1330.57082973 0.18031973 1.00026018 1.00029468 0 12018
1330.57221861 0.18170861 0.99986943 0.99990391 0 12018
1330.57360749 0.18309749 0.99995491 0.99998939 0 12018
1330.57499637 0.18448637 0.99980569 0.99984017 0 12018
1330.57638525 0.18587525 0.99940859 0.99944305 0 12018
1330.57777413 0.18726413 1.00020685 1.00024134 0 12018
1330.57916302 0.18865302 1.00017258 1.00020707 0 12018
1330.58055190 0.19004190 0.99984808 0.99988256 0 12018
1330.58194078 0.19143078 1.00009825 1.00013274 0 12018
1330.58332966 0.19281966 0.99995183 0.99998632 0 12018
1330.58471854 0.19420854 0.99978168 0.99981616 0 12018
1330.58610742 0.19559742 0.99995383 0.99998831 0 12018
1330.58749630 0.19698630 1.00033298 1.00036748 0 12018
1330.58888518 0.19837518 1.00007306 1.00010755 0 12018
1330.59027406 0.19976406 0.99988011 0.99991459 0 12018
