# tempo_BTJD  residuo_normalizado
3883.63456872  1.00006554
3883.63595762  1.00036487
3883.63734651  1.00070624
3883.63873541  0.99971768
3883.64012431  1.00032088
3883.64151320  1.00025417
3883.64290210  1.00020584
3883.64429100  1.00006931
3883.64567989  0.99980884
3883.64706879  0.99982642
3883.64845769  1.00018225
3883.64984658  1.00028004
3883.65123548  0.99976007
3883.65262438  0.99972635
3883.65401328  1.00029452
3883.65540217  1.00060213
3883.65679107  1.00015457
3883.65817997  0.99987930
3883.65956886  1.00078630
3883.66095776  1.00089234
3883.66234666  0.99997430
3883.66373555  1.00021232
3883.66512445  1.00053075
3883.66651335  1.00007333
3883.66790224  1.00023404
3883.66929114  1.00015363
3883.67068004  1.00018685
3883.67206893  0.99927311
3883.67345783  1.00047178
3883.67484673  1.00068160
3883.67623562  1.00022976
3883.67762452  1.00031560
3883.67901342  1.00058558
3883.68040231  0.99988858
3883.68179121  1.00009330
3883.68318011  1.00036378
3883.68456900  1.00056647
3883.68595790  1.00000002
3883.68734680  1.00052060
3883.68873569  1.00039683
3883.69012459  1.00020795
3883.69151349  1.00030449
3883.69290239  1.00060961
3883.69429128  1.00045316
3883.69568018  0.99965147
3883.69706908  1.00060268
3883.69845797  1.00070307
3883.69984687  1.00029370
3883.70123577  1.00064078
3883.70262466  1.00008115
3883.70401356  1.00048242
3883.70540246  0.99967803
3883.70679135  1.00105996
3883.70818025  0.99958782
3883.70956915  1.00054029
3883.71095804  1.00059383
3883.71234694  0.99962557
3883.71373584  0.99985027
3883.71512473  0.99921961
3883.71651363  1.00022955
3883.71790253  1.00045661
3883.71929142  1.00019146
3883.72068032  1.00047917
3883.72206922  1.00035273
3883.72345811  1.00026024
3883.72484701  1.00009202
3883.72623591  0.99994111
3883.72762480  1.00091343
3883.72901370  0.99994695
3883.73040259  1.00030603
3883.73179149  1.00054321
3883.73318039  0.99993381
3883.73456928  1.00014424
3883.73595818  1.00046371
3883.73734708  0.99977289
3883.73873597  1.00019325
3883.74012487  1.00008965
3883.74151377  1.00061882
3883.74290266  1.00032165
3883.74429156  1.00020262
3883.74568046  1.00023836
3883.74706935  0.99980450
3883.74845825  1.00066058
3883.74984715  1.00018426
3883.75123604  0.99963227
3883.75262494  1.00018722
3883.75401384  0.99992667
3883.75540273  1.00023274
3883.75679163  0.99988699
3883.75818053  0.99998553
3883.75956942  1.00029384
3883.76095832  1.00016736
3883.76234722  1.00032646
3883.76373611  0.99972883
3883.76512501  1.00011134
3883.76651390  1.00004915
3883.76790280  0.99996164
3883.76929170  0.99977411
3883.77068059  0.99968618
3883.77206949  0.99974585
3883.77345839  0.99977448
3883.77484728  0.99975859
3883.77623618  0.99960154
3883.77762508  1.00034415
3883.77901397  1.00003430
3883.78040287  1.00008721
3883.78179177  1.00037734
3883.78318066  0.99951562
3883.78456956  1.00022554
3883.78595845  1.00010041
3883.78734735  0.99990936
3883.78873625  0.99997467
3883.79012514  1.00058511
3883.79151404  0.99993189
3883.79290294  1.00012533
3883.79429183  1.00021090
3883.79568073  1.00041267
3883.79706963  1.00030729
3883.79845852  1.00048274
3883.79984742  1.00031749
3883.80123631  1.00026204
3883.80262521  1.00028975
3883.80401411  0.99999271
3883.80540300  0.99974816
3883.80679190  1.00007197
3883.80818080  1.00008976
3883.80956969  0.99976899
3883.81095859  1.00016116
3883.81234748  1.00044004
3883.81373638  1.00003653
3883.81512528  0.99951563
3883.81651417  1.00015670
3883.81790307  1.00067409
3883.81929197  1.00016279
3883.82068086  1.00042570
3883.82206976  1.00063971
3883.82345865  0.99984072
3883.82484755  1.00079095
3883.82623645  0.99952413
3883.82762534  0.99982834
3883.82901424  0.99997374
3883.83040314  0.99989331
3883.83179203  0.99986917
3883.83318093  1.00006185
3883.83456982  1.00018294
3883.83595872  1.00017012
3883.83734762  0.99982924
3883.83873651  1.00033997
3883.84012541  1.00048120
3883.84151431  1.00000166
3883.84290320  1.00004520
3883.84429210  1.00027808
3883.84568099  0.99991288
3883.84706989  0.99994886
3883.84845879  0.99998595
3883.84984768  0.99998520
3883.85123658  0.99976129
3883.85262547  1.00035505
3883.85401437  0.99993152
3883.85540327  1.00030340
3883.85679216  1.00035319
3883.85818106  1.00057067
3883.85956996  1.00025608
3883.86095885  1.00063496
3883.86234775  0.99995956
3883.86373664  1.00059483
3883.86512554  1.00028476
3883.86651444  1.00059875
3883.86790333  1.00022014
3883.86929223  1.00094360
3883.87068112  1.00015392
3883.87207002  0.99985830
3883.87345892  1.00038910
3883.87484781  0.99988496
3883.87623671  0.99995052
3883.87762560  1.00015860
3883.87901450  1.00000441
3883.88040340  1.00033816
3883.88179229  1.00004036
3883.88318119  1.00026452
3883.88457009  1.00024788
3883.88595898  1.00008131
